RA[deg]	DEC[deg]	z_low
171.6858	5.1904	0.02
202.1221	6.3022	0.02
176.9145	4.9114	0.02
151.2692	26.0427	0.02
157.8824	41.7428	0.02
190.9876	49.6728	0.02
147.4947	7.6137	0.02
199.0153	12.3388	0.02
231.0711	18.5374	0.02
207.3127	10.9488	0.02
127.4802	52.4782	0.02
190.0668	13.3517	0.02
194.3788	56.1472	0.02
126.2193	45.8765	0.02
166.1628	39.6745	0.02
176.6244	40.4150	0.02
182.5068	8.2297	0.02
192.4146	5.3280	0.02
182.6663	53.5557	0.02
143.6968	29.0355	0.02
164.6851	55.2189	0.02
154.5130	33.4108	0.02
186.7845	31.5201	0.02
154.1685	19.8595	0.02
174.3129	47.8819	0.02
156.4847	8.4835	0.02
190.3905	21.0111	0.02
129.0171	34.2118	0.02
195.3821	38.5290	0.02
169.8812	14.6855	0.02
171.9041	29.4279	0.02
125.7029	23.4775	0.025
165.6254	20.1488	0.025
147.9714	17.3012	0.025
223.1002	50.3959	0.025
164.3263	7.2208	0.025
142.1438	14.6224	0.025
202.8602	3.2865	0.025
142.6119	26.4240	0.025
142.4007	20.0208	0.025
201.3820	29.2406	0.025
218.8275	8.3065	0.025
173.0174	48.0306	0.025
199.4879	8.5091	0.025
144.4463	36.5094	0.025
135.2220	24.4880	0.025
131.7611	18.6297	0.025
209.2733	30.6098	0.025
164.6914	53.9215	0.025
148.2537	8.2799	0.025
199.5892	36.9836	0.025
231.8337	50.2804	0.025
138.8857	7.3343	0.025
135.6641	34.0414	0.025
230.1002	7.9485	0.025
221.7681	42.6882	0.025
216.8035	27.7692	0.025
175.2628	28.2568	0.025
157.9366	13.4885	0.025
209.1954	9.3729	0.025
189.1641	33.7037	0.025
127.4489	10.4249	0.025
213.5262	52.7713	0.025
150.3013	42.1059	0.025
152.1436	25.4575	0.025
209.1185	42.4667	0.025
161.9662	31.0887	0.025
187.5244	52.8094	0.025
153.4218	50.0948	0.025
179.7337	41.6040	0.025
175.6998	11.5595	0.025
193.7346	19.9034	0.025
140.0000	18.9163	0.03
144.4325	6.5997	0.03
199.3161	29.7968	0.03
222.4036	35.3989	0.03
159.4947	9.0195	0.03
167.9232	33.9317	0.03
202.6263	3.2806	0.03
169.5136	38.7676	0.03
132.2114	36.0684	0.03
168.5705	43.8436	0.03
122.9741	42.1802	0.03
224.6048	56.0183	0.03
163.5855	13.3854	0.03
236.9251	12.7452	0.03
135.4630	41.0724	0.03
169.8684	24.5722	0.03
183.8492	23.9695	0.03
172.5952	30.1476	0.03
150.6298	32.6323	0.03
123.3560	8.0591	0.03
194.7937	45.6075	0.03
186.5454	11.9696	0.03
129.6492	5.8642	0.03
156.2794	16.5967	0.03
215.7308	4.8600	0.03
143.3022	36.9776	0.03
153.1749	42.1206	0.03
224.5900	5.7201	0.03
194.6300	5.5991	0.03
226.1944	28.7365	0.03
146.2020	20.0058	0.03
192.4891	32.0208	0.03
181.3438	30.3219	0.03
139.6030	31.0849	0.03
160.0797	45.3912	0.03
173.8616	7.0729	0.03
182.8359	3.9669	0.03
170.3482	15.2953	0.03
159.9868	34.8425	0.03
143.3845	45.0216	0.03
151.7731	7.7511	0.03
141.8389	12.6453	0.03
133.8756	25.2346	0.03
233.5588	45.4470	0.03
178.6087	18.2094	0.03
178.1363	54.6701	0.03
234.2129	54.3910	0.03
221.4729	44.5218	0.03
234.1824	34.7763	0.03
146.4746	53.4025	0.03
163.6524	53.3729	0.03
204.6980	39.8473	0.03
128.9274	49.0348	0.03
210.5241	30.7261	0.03
157.0751	24.8181	0.03
193.8694	20.0243	0.03
208.9806	50.9133	0.03
230.4023	18.3830	0.03
182.5743	42.5652	0.03
210.8877	15.3606	0.03
158.0552	2.6945	0.035
122.7941	45.2599	0.035
198.8179	25.9934	0.035
207.5348	44.8970	0.035
157.6798	35.2464	0.035
204.7733	31.9671	0.035
165.0357	39.9951	0.035
166.5934	4.6887	0.035
121.8329	15.6782	0.035
234.2540	40.7760	0.035
223.6345	12.1250	0.035
224.2322	20.2311	0.035
216.4129	12.2242	0.035
149.6563	21.0619	0.035
207.1508	3.9935	0.035
160.2877	7.7514	0.035
124.0127	22.4811	0.035
158.4357	44.5851	0.035
164.1100	33.7773	0.035
170.8942	9.4221	0.035
211.9931	31.0675	0.035
144.0403	7.4211	0.035
143.9498	16.5332	0.035
187.6570	37.0134	0.035
140.7465	37.1301	0.035
136.0317	6.2973	0.035
153.2223	31.0757	0.035
191.9743	55.9638	0.035
180.0774	32.4497	0.035
230.9547	52.5459	0.035
199.9888	7.3424	0.035
227.9318	43.6451	0.035
