RA[deg]	DEC[deg]	z_low	layer
189.7967	40.5702	0.055	11
129.4462	39.9431	0.055	11
153.1115	39.2488	0.055	11
130.7849	38.3501	0.055	11
154.6243	38.1433	0.055	11
155.4866	38.1433	0.055	11
148.9202	38.0744	0.055	11
229.9582	37.5929	0.055	11
130.0947	37.3869	0.055	11
235.7428	37.1125	0.055	11
136.9157	37.0440	0.055	11
207.5173	37.0440	0.055	11
177.2340	36.7017	0.055	11
204.6079	36.0870	0.055	11
126.4714	35.1344	0.055	11
183.5605	32.9724	0.055	11
224.3202	32.5693	0.055	11
183.5422	32.2339	0.055	11
183.3130	32.0329	0.055	11
203.7883	31.8990	0.055	11
219.1844	31.8990	0.055	11
239.1343	31.6982	0.055	11
175.8455	31.5645	0.055	11
163.3324	31.4308	0.055	11
143.8836	30.4972	0.055	11
194.5049	30.1645	0.055	11
183.1754	28.9706	0.055	11
125.2594	28.6398	0.055	11
198.6898	28.6398	0.055	11
191.5658	28.3095	0.055	11
145.6321	28.1775	0.055	11
171.7071	27.9796	0.055	11
227.7189	27.4524	0.055	11
127.4944	27.0577	0.055	11
147.8286	26.5323	0.055	11
209.5463	26.1388	0.055	11
120.7476	25.2225	0.055	11
149.2293	25.0265	0.055	11
178.8741	24.7001	0.055	11
207.3949	24.1786	0.055	11
186.0205	24.0483	0.055	11
187.7989	23.8530	0.055	11
125.6935	23.6579	0.055	11
201.3065	22.6187	0.055	11
181.1507	21.6472	0.055	11
210.9010	20.0335	0.055	11
160.9350	19.9691	0.055	11
158.5656	19.7759	0.055	11
127.3784	19.7116	0.055	11
214.2968	19.7116	0.055	11
190.6641	19.4542	0.055	11
232.2914	19.2612	0.055	11
224.8308	19.0041	0.055	11
237.2497	18.5545	0.055	11
224.1083	18.4261	0.055	11
163.0142	18.1695	0.055	11
170.3496	17.6566	0.055	11
218.0341	17.3364	0.055	11
197.2328	16.9524	0.055	11
135.7603	16.3130	0.055	11
136.1759	16.3130	0.055	11
176.8344	16.2491	0.055	11
177.7360	16.0575	0.055	11
124.8710	15.1641	0.055	11
121.6568	14.1449	0.055	11
180.5001	13.0004	0.055	11
187.6329	12.8098	0.055	11
221.2278	12.6828	0.055	11
136.5134	12.3654	0.055	11
153.9237	12.2385	0.055	11
179.4038	11.8578	0.055	11
137.9234	11.2239	0.055	11
230.8631	11.2239	0.055	11
160.6826	11.1605	0.055	11
221.0059	11.0338	0.055	11
150.0738	10.3373	0.055	11
204.3398	9.6413	0.055	11
196.9065	9.3884	0.055	11
139.7266	9.1355	0.055	11
196.5569	9.0723	0.055	11
205.3852	8.6300	0.055	11
238.0776	8.4405	0.055	11
226.5653	8.1247	0.055	11
133.7676	7.8090	0.055	11
215.3206	7.4935	0.055	11
163.4960	5.4757	0.055	11
216.1138	5.4757	0.055	11
226.0626	5.3497	0.055	11
152.3344	5.0347	0.055	11
135.2921	4.6567	0.055	11
163.2382	4.6567	0.055	11
135.8406	4.4678	0.055	11
179.1409	2.7053	0.055	11
216.0345	2.5794	0.055	11
200.1543	2.4536	0.055	11
229.6105	2.3277	0.055	11
126.4497	59.1914	0.06	12
206.7987	57.6750	0.06	12
219.4762	57.5958	0.06	12
143.8846	56.9647	0.06	12
225.5176	56.4939	0.06	12
197.6452	56.2593	0.06	12
148.7625	55.0169	0.06	12
125.9058	54.9397	0.06	12
178.5040	54.6315	0.06	12
156.9052	53.7120	0.06	12
133.3369	53.4072	0.06	12
140.9137	52.2710	0.06	12
181.7694	51.9698	0.06	12
204.3792	51.8946	0.06	12
137.0011	51.7444	0.06	12
182.1674	49.9558	0.06	12
151.9059	49.0707	0.06	12
155.0901	48.1914	0.06	12
156.0662	47.5355	0.06	12
236.5798	46.7381	0.06	12
206.1806	46.5213	0.06	12
165.2400	46.0169	0.06	12
231.4820	45.8012	0.06	12
190.4457	45.0130	0.06	12
232.9664	44.8701	0.06	12
203.1584	44.4423	0.06	12
169.4788	42.3905	0.06	12
174.9564	42.3905	0.06	12
139.0514	41.6188	0.06	12
168.8296	40.8505	0.06	12
224.2756	40.1550	0.06	12
187.2787	39.7389	0.06	12
236.2627	39.1857	0.06	12
153.8647	39.1166	0.06	12
231.6780	39.0476	0.06	12
206.4998	38.7718	0.06	12
234.6105	38.2214	0.06	12
146.9864	37.6725	0.06	12
210.1741	37.3986	0.06	12
123.6182	36.9202	0.06	12
177.0724	36.7156	0.06	12
172.4981	36.5792	0.06	12
157.0838	36.4430	0.06	12
180.3303	35.0854	0.06	12
166.2289	34.2750	0.06	12
167.2190	33.4674	0.06	12
202.9251	33.1318	0.06	12
136.2595	32.3951	0.06	12
185.6447	31.9275	0.06	12
137.7681	31.3276	0.06	12
137.7306	31.1945	0.06	12
200.2191	31.0614	0.06	12
233.5391	29.9996	0.06	12
195.1409	29.4042	0.06	12
210.0996	29.3381	0.06	12
236.9328	29.3381	0.06	12
210.2227	29.2060	0.06	12
188.6502	27.9542	0.06	12
142.8934	26.8388	0.06	12
208.6501	26.8388	0.06	12
199.6572	26.3154	0.06	12
225.7492	26.0540	0.06	12
131.1009	25.5319	0.06	12
168.2844	25.1409	0.06	12
211.1855	24.1005	0.06	12
224.4112	23.9707	0.06	12
201.2726	23.8409	0.06	12
164.2287	23.5815	0.06	12
157.1241	23.1928	0.06	12
158.0513	22.4812	0.06	12
171.1367	22.4166	0.06	12
177.8183	22.4166	0.06	12
148.3294	21.8356	0.06	12
238.4335	21.5132	0.06	12
188.6525	21.3199	0.06	12
226.2844	20.9335	0.06	12
173.6028	20.6119	0.06	12
120.8321	20.3547	0.06	12
182.6925	19.7126	0.06	12
229.7106	19.3277	0.06	12
195.4877	18.5591	0.06	12
222.6272	17.5364	0.06	12
169.4269	17.4087	0.06	12
131.9893	17.0258	0.06	12
209.7759	15.8790	0.06	12
164.9130	15.6245	0.06	12
218.8423	15.1158	0.06	12
163.7197	14.4807	0.06	12
129.8995	14.2902	0.06	12
211.6825	13.9730	0.06	12
197.1250	13.9096	0.06	12
158.4561	13.5292	0.06	12
197.9201	13.2124	0.06	12
182.3588	12.7058	0.06	12
201.6725	12.5792	0.06	12
157.4211	12.3261	0.06	12
229.6284	11.8202	0.06	12
222.9877	11.2514	0.06	12
152.9673	10.9988	0.06	12
222.3207	10.6831	0.06	12
210.0461	10.3045	0.06	12
189.2531	10.2414	0.06	12
151.9281	9.9891	0.06	12
163.0053	9.8629	0.06	12
207.2031	9.5477	0.06	12
133.2310	8.7916	0.06	12
135.7269	8.2248	0.06	12
212.3772	7.9731	0.06	12
146.0837	6.8408	0.06	12
220.1407	6.7151	0.06	12
146.5756	6.4636	0.06	12
196.3976	6.1494	0.06	12
196.0532	5.8980	0.06	12
140.1073	5.1443	0.06	12
205.4065	5.0815	0.06	12
221.9403	4.3281	0.06	12
167.4734	4.2025	0.06	12
170.6612	4.2025	0.06	12
128.5661	3.5750	0.06	12
234.7907	3.3867	0.06	12
145.6643	2.8848	0.06	12
156.1016	2.7594	0.06	12
143.2369	2.1948	0.06	12
194.1786	2.1321	0.06	12
203.7935	1.6304	0.06	12
219.9302	58.4619	0.065	13
186.9810	58.1412	0.065	13
198.2977	57.2649	0.065	13
228.2695	57.0272	0.065	13
125.9390	56.0035	0.065	13
177.6495	56.0035	0.065	13
206.8156	55.3785	0.065	13
207.0049	55.3785	0.065	13
162.9451	54.9121	0.065	13
191.8059	53.5244	0.065	13
236.8423	52.0776	0.065	13
121.7633	52.0019	0.065	13
140.3308	51.9263	0.065	13
221.8986	51.9263	0.065	13
140.0035	51.5489	0.065	13
190.8386	50.2742	0.065	13
216.7113	50.1996	0.065	13
225.3981	48.8642	0.065	13
149.6462	48.4956	0.065	13
209.4906	48.0546	0.065	13
151.1420	47.1768	0.065	13
182.1447	47.1039	0.065	13
211.7447	47.0310	0.065	13
184.9235	45.5090	0.065	13
232.5317	44.8614	0.065	13
167.9752	44.5745	0.065	13
178.7269	44.1450	0.065	13
130.6856	43.5743	0.065	13
188.0096	42.8636	0.065	13
139.7756	42.7927	0.065	13
122.5472	42.6510	0.065	13
170.3849	42.6510	0.065	13
156.3214	41.9443	0.065	13
151.0075	40.6795	0.065	13
150.8880	40.5395	0.065	13
198.5732	40.2599	0.065	13
159.3576	39.9109	0.065	13
211.9834	39.9109	0.065	13
168.9970	39.8412	0.065	13
199.0377	39.7716	0.065	13
145.5566	39.2151	0.065	13
180.6524	38.8681	0.065	13
204.0926	38.1761	0.065	13
178.1356	36.1144	0.065	13
199.2609	35.4318	0.065	13
142.3644	35.2955	0.065	13
165.5571	34.0052	0.065	13
174.6952	33.0591	0.065	13
131.8152	32.9917	0.065	13
133.9630	32.9917	0.065	13
232.2445	32.7896	0.065	13
214.9791	30.7772	0.065	13
185.8643	30.7104	0.065	13
219.5587	30.7104	0.065	13
129.9475	30.6437	0.065	13
193.2749	30.3767	0.065	13
212.3990	28.8470	0.065	13
167.8507	28.7807	0.065	13
187.5962	28.7807	0.065	13
128.7683	28.3832	0.065	13
232.1247	28.0523	0.065	13
170.8618	27.7218	0.065	13
126.4386	26.3379	0.065	13
206.7868	26.0751	0.065	13
234.2542	26.0751	0.065	13
224.0246	25.4188	0.065	13
228.3937	25.3533	0.065	13
162.6933	23.8494	0.065	13
212.2633	23.5233	0.065	13
220.2702	22.8721	0.065	13
228.3459	22.7420	0.065	13
211.1603	22.6770	0.065	13
197.6425	22.0923	0.065	13
175.4387	21.8327	0.065	13
152.1962	21.3788	0.065	13
176.1437	21.2493	0.065	13
184.8815	21.1197	0.065	13
180.7897	20.7314	0.065	13
165.2191	20.6667	0.065	13
225.7587	20.6020	0.065	13
150.6559	20.3434	0.065	13
210.0380	19.8913	0.065	13
195.4622	19.5687	0.065	13
223.0812	19.5042	0.065	13
136.5907	18.4734	0.065	13
128.2216	18.0875	0.065	13
176.9484	17.7020	0.065	13
135.7700	17.5735	0.065	13
207.0985	17.3809	0.065	13
165.1351	17.1883	0.065	13
189.7950	17.1242	0.065	13
190.5352	16.8035	0.065	13
125.2266	16.0987	0.065	13
175.6710	16.0987	0.065	13
191.8193	14.5642	0.065	13
146.9243	14.1812	0.065	13
160.9472	13.9898	0.065	13
167.4491	13.7985	0.065	13
167.8610	13.6072	0.065	13
160.0944	13.4797	0.065	13
226.7186	13.4797	0.065	13
222.1708	13.2886	0.065	13
222.2383	13.2886	0.065	13
135.1190	12.6517	0.065	13
165.9453	12.3335	0.065	13
128.8573	12.0155	0.065	13
179.6910	11.8883	0.065	13
184.3329	11.6341	0.065	13
127.2926	10.3639	0.065	13
132.6776	10.1736	0.065	13
158.0399	9.9199	0.065	13
199.1972	9.8564	0.065	13
208.3666	9.6028	0.065	13
141.6648	9.2225	0.065	13
159.0119	9.0324	0.065	13
212.4841	8.9691	0.065	13
209.1318	8.8424	0.065	13
187.4501	8.5257	0.065	13
141.0567	8.2724	0.065	13
175.8193	7.7661	0.065	13
188.0425	7.7661	0.065	13
232.0844	7.1967	0.065	13
135.8287	6.3115	0.065	13
235.9780	5.5533	0.065	13
128.0033	4.2273	0.065	13
222.6022	4.1641	0.065	13
236.7555	3.7854	0.065	13
158.5472	3.7223	0.065	13
222.1227	3.7223	0.065	13
194.2567	3.5330	0.065	13
194.7181	3.0913	0.065	13
208.0120	3.0282	0.065	13
178.2327	2.7128	0.065	13
183.0177	2.5867	0.065	13
215.3790	2.3974	0.065	13
147.7994	2.3343	0.065	13
132.5211	2.0820	0.065	13
225.3911	57.6613	0.07	14
195.0569	57.0285	0.07	14
171.9656	56.0865	0.07	14
211.2568	56.0865	0.07	14
155.1337	55.3855	0.07	14
166.4877	53.9969	0.07	14
178.9551	50.8947	0.07	14
191.4634	50.8947	0.07	14
232.0699	50.6707	0.07	14
213.0243	50.0013	0.07	14
135.1256	49.7049	0.07	14
215.3330	48.2325	0.07	14
214.8669	48.1593	0.07	14
136.9669	47.7939	0.07	14
236.1857	46.4138	0.07	14
217.3911	45.8366	0.07	14
236.2781	45.7646	0.07	14
148.0871	45.1182	0.07	14
177.8626	44.6888	0.07	14
209.7802	43.7624	0.07	14
191.4505	43.1950	0.07	14
154.7486	43.1242	0.07	14
200.9041	42.8413	0.07	14
188.2233	41.9253	0.07	14
167.7928	41.8551	0.07	14
144.7175	41.7849	0.07	14
144.4339	41.4342	0.07	14
137.8570	40.5256	0.07	14
197.1374	39.8993	0.07	14
197.2747	39.7604	0.07	14
165.4369	39.5523	0.07	14
137.0955	38.7911	0.07	14
120.4789	38.1706	0.07	14
200.9570	36.8670	0.07	14
226.5341	36.6620	0.07	14
223.3496	36.1843	0.07	14
238.1765	35.2322	0.07	14
166.1352	34.2168	0.07	14
186.8291	33.5424	0.07	14
119.9172	31.8650	0.07	14
127.6832	31.8650	0.07	14
129.5034	30.6643	0.07	14
228.9566	30.5313	0.07	14
161.8273	30.4648	0.07	14
219.8418	30.1990	0.07	14
181.2065	29.6681	0.07	14
164.2803	29.6018	0.07	14
181.8676	29.5356	0.07	14
164.6794	29.2707	0.07	14
156.6837	29.2045	0.07	14
130.7825	28.4116	0.07	14
178.5014	27.5551	0.07	14
237.9531	27.4893	0.07	14
230.4113	27.2920	0.07	14
148.8678	26.9636	0.07	14
146.2472	26.6355	0.07	14
229.2365	26.4388	0.07	14
200.1019	26.3078	0.07	14
213.8952	25.9150	0.07	14
221.8237	25.2614	0.07	14
172.8536	25.0656	0.07	14
144.5619	24.8047	0.07	14
120.7223	24.7395	0.07	14
152.7387	24.7395	0.07	14
202.0457	24.3486	0.07	14
121.7131	24.2835	0.07	14
128.2163	24.2835	0.07	14
164.6013	24.1533	0.07	14
214.3088	24.1533	0.07	14
195.7915	23.8931	0.07	14
194.2847	23.7631	0.07	14
142.1623	23.4383	0.07	14
186.4315	23.3734	0.07	14
186.3584	23.3084	0.07	14
215.9324	22.3361	0.07	14
202.3225	22.2067	0.07	14
215.1759	21.5601	0.07	14
180.2388	21.1727	0.07	14
180.4501	21.1082	0.07	14
210.6522	20.3990	0.07	14
226.2925	19.4983	0.07	14
197.6312	18.9844	0.07	14
163.0558	18.9203	0.07	14
174.1633	18.7919	0.07	14
208.3624	18.7277	0.07	14
197.3313	18.6636	0.07	14
166.7730	18.5995	0.07	14
142.1048	18.4071	0.07	14
207.3535	18.4071	0.07	14
191.8027	18.2789	0.07	14
147.4325	18.1507	0.07	14
166.2371	18.1507	0.07	14
173.1398	17.8305	0.07	14
127.5958	17.7024	0.07	14
209.3589	17.5744	0.07	14
148.5117	17.1906	0.07	14
222.4316	17.1267	0.07	14
189.7412	17.0627	0.07	14
158.5953	16.9349	0.07	14
158.6647	16.9349	0.07	14
236.3457	16.9349	0.07	14
214.8922	16.7432	0.07	14
135.4668	16.6793	0.07	14
174.6324	16.0410	0.07	14
128.6910	15.7221	0.07	14
188.1782	15.6583	0.07	14
128.5727	15.5946	0.07	14
138.5575	15.2759	0.07	14
184.5068	14.8938	0.07	14
184.4371	14.8302	0.07	14
184.5741	14.7665	0.07	14
184.6430	14.7665	0.07	14
185.6066	14.7029	0.07	14
230.7688	14.5120	0.07	14
176.7249	14.1940	0.07	14
230.5091	14.1304	0.07	14
152.8003	14.0033	0.07	14
185.5892	13.5585	0.07	14
185.5864	13.3679	0.07	14
122.1048	13.3044	0.07	14
201.4047	12.6698	0.07	14
168.8746	12.0358	0.07	14
141.7870	11.9724	0.07	14
142.4979	11.6557	0.07	14
225.8507	11.2124	0.07	14
126.2759	10.6429	0.07	14
190.1900	10.6429	0.07	14
177.4351	10.5164	0.07	14
176.9604	10.0739	0.07	14
200.7395	10.0739	0.07	14
188.0654	10.0107	0.07	14
188.0645	9.9474	0.07	14
168.0501	9.3788	0.07	14
184.5146	8.9999	0.07	14
126.9333	8.8106	0.07	14
184.1040	8.6212	0.07	14
153.4596	8.4950	0.07	14
198.8436	8.3688	0.07	14
154.0237	7.9903	0.07	14
233.9755	7.6750	0.07	14
206.3468	7.4228	0.07	14
164.4946	7.2968	0.07	14
172.0987	6.5406	0.07	14
235.9132	6.3517	0.07	14
137.7711	6.0368	0.07	14
228.1695	5.9738	0.07	14
121.7426	5.7220	0.07	14
146.9965	5.5961	0.07	14
186.5207	5.0925	0.07	14
226.6857	4.6521	0.07	14
177.5929	4.1488	0.07	14
159.1509	3.3942	0.07	14
189.6195	3.3942	0.07	14
174.0816	3.2684	0.07	14
158.9506	3.2055	0.07	14
146.4622	2.7655	0.07	14
207.0387	2.7026	0.07	14
133.0936	2.6397	0.07	14
190.5601	2.5140	0.07	14
196.2997	2.5140	0.07	14
221.6204	2.4512	0.07	14
134.1120	2.3883	0.07	14
154.5715	2.3254	0.07	14
141.6821	1.8855	0.07	14
183.7390	1.7598	0.07	14
227.3432	1.5084	0.07	14
233.7538	1.3827	0.07	14
146.0102	57.3862	0.075	15
125.4620	56.9194	0.075	15
158.1212	56.4546	0.075	15
224.1274	56.3774	0.075	15
200.9442	55.9150	0.075	15
165.0545	55.4547	0.075	15
191.3514	54.8439	0.075	15
213.5130	54.4639	0.075	15
149.3774	52.5080	0.075	15
149.6302	52.3589	0.075	15
138.1985	52.2100	0.075	15
213.8315	51.4681	0.075	15
232.7252	50.2170	0.075	15
223.1268	49.4866	0.075	15
179.4394	49.2683	0.075	15
124.6531	48.6155	0.075	15
220.9910	48.3264	0.075	15
167.7716	48.0379	0.075	15
143.0844	47.4626	0.075	15
143.0038	47.2475	0.075	15
133.0094	45.8214	0.075	15
145.0750	45.8214	0.075	15
235.4720	44.6902	0.075	15
200.9915	44.2682	0.075	15
185.1099	43.5673	0.075	15
199.3672	42.5215	0.075	15
166.1963	42.3132	0.075	15
156.3078	41.2752	0.075	15
200.7772	40.4492	0.075	15
137.8962	40.2433	0.075	15
180.8698	39.4903	0.075	15
169.8067	39.3538	0.075	15
169.7509	39.0809	0.075	15
139.9157	38.9446	0.075	15
208.1351	38.6044	0.075	15
119.3318	38.4685	0.075	15
238.2567	36.5752	0.075	15
226.2692	35.5012	0.075	15
151.2185	35.0998	0.075	15
130.9702	34.6325	0.075	15
143.7258	33.7009	0.075	15
131.7580	32.8392	0.075	15
199.4956	32.5747	0.075	15
173.8623	32.5086	0.075	15
181.5850	32.2444	0.075	15
231.1903	32.1785	0.075	15
181.1238	31.8488	0.075	15
142.3558	31.5854	0.075	15
165.1594	31.5854	0.075	15
165.6530	31.1908	0.075	15
175.8949	30.9280	0.075	15
207.3696	30.0106	0.075	15
119.8627	29.8145	0.075	15
154.7625	29.6184	0.075	15
197.8760	28.5103	0.075	15
208.5051	28.3152	0.075	15
127.1264	28.2502	0.075	15
231.0511	28.2502	0.075	15
239.7611	28.2502	0.075	15
159.0868	28.0553	0.075	15
230.4532	27.7308	0.075	15
210.2906	26.5654	0.075	15
136.3134	26.3071	0.075	15
160.7819	26.1134	0.075	15
160.3137	25.6621	0.075	15
151.6726	25.5333	0.075	15
217.1782	25.2115	0.075	15
195.1241	25.0185	0.075	15
184.7355	24.9542	0.075	15
150.8881	24.8899	0.075	15
201.6795	24.7614	0.075	15
202.1696	24.5687	0.075	15
193.5754	23.7351	0.075	15
221.9306	22.6479	0.075	15
181.4975	22.0737	0.075	15
219.8600	21.5641	0.075	15
148.9371	21.1823	0.075	15
182.7078	20.6738	0.075	15
228.3895	20.6738	0.075	15
121.7095	20.5468	0.075	15
163.5013	20.4833	0.075	15
218.3004	20.3563	0.075	15
193.2330	18.9623	0.075	15
210.9352	18.6461	0.075	15
129.8417	18.5197	0.075	15
126.3344	18.2670	0.075	15
180.0537	16.9425	0.075	15
189.4596	16.8795	0.075	15
208.5368	16.6906	0.075	15
136.5599	16.3759	0.075	15
133.1646	15.9357	0.075	15
237.1820	15.6215	0.075	15
229.7668	15.4959	0.075	15
201.7373	15.4331	0.075	15
200.6774	15.3703	0.075	15
202.1393	15.1192	0.075	15
138.6695	14.7427	0.075	15
219.7297	14.5546	0.075	15
173.1095	14.1158	0.075	15
148.4960	14.0532	0.075	15
173.2520	13.9905	0.075	15
233.7827	12.6139	0.075	15
150.2930	12.5514	0.075	15
190.3922	12.5514	0.075	15
163.1858	11.5521	0.075	15
213.4294	11.4273	0.075	15
215.2917	11.1777	0.075	15
151.3168	10.7412	0.075	15
226.5254	10.6788	0.075	15
127.4646	10.6165	0.075	15
195.1400	10.3672	0.075	15
127.1496	10.3049	0.075	15
167.2056	9.7443	0.075	15
124.6430	9.6820	0.075	15
141.6971	9.0595	0.075	15
167.9842	9.0595	0.075	15
175.3419	8.3131	0.075	15
149.7551	7.3188	0.075	15
139.6663	7.1324	0.075	15
231.5849	6.2632	0.075	15
148.4859	6.2011	0.075	15
231.4356	6.0770	0.075	15
136.9717	5.7668	0.075	15
187.3001	5.5806	0.075	15
131.3326	5.3325	0.075	15
208.8288	5.3325	0.075	15
186.1243	5.2085	0.075	15
187.0895	5.0844	0.075	15
122.1064	4.9604	0.075	15
207.9122	4.5883	0.075	15
178.4673	3.7205	0.075	15
158.5614	2.9769	0.075	15
215.3859	2.8530	0.075	15
136.0661	1.3664	0.075	15
164.8521	56.9491	0.08	16
147.3621	56.2506	0.08	16
198.0837	55.4031	0.08	16
237.9556	55.1731	0.08	16
217.8014	54.9436	0.08	16
178.6838	54.2580	0.08	16
133.4902	54.0304	0.08	16
212.8696	53.8032	0.08	16
198.8031	53.6521	0.08	16
219.0031	53.6521	0.08	16
120.7064	53.4256	0.08	16
180.7319	53.4256	0.08	16
230.3791	52.0018	0.08	16
168.9247	51.6298	0.08	16
208.5586	50.8155	0.08	16
182.5391	49.7866	0.08	16
136.9337	49.7134	0.08	16
149.2839	48.1858	0.08	16
181.0984	47.1767	0.08	16
194.9502	47.1767	0.08	16
136.5943	46.4603	0.08	16
163.3195	45.9608	0.08	16
221.4699	45.9608	0.08	16
151.7752	45.1085	0.08	16
128.4749	44.3314	0.08	16
219.7301	43.9091	0.08	16
127.7337	43.1378	0.08	16
127.4026	42.9979	0.08	16
149.2031	42.5791	0.08	16
201.9553	41.7446	0.08	16
158.2009	41.3288	0.08	16
167.9480	41.2596	0.08	16
199.8582	41.2596	0.08	16
146.0993	40.9831	0.08	16
175.2233	40.9141	0.08	16
214.5273	40.5003	0.08	16
186.1887	39.4014	0.08	16
204.2236	39.4014	0.08	16
227.4250	39.1961	0.08	16
134.8222	38.0369	0.08	16
192.5174	37.7652	0.08	16
162.4564	37.6973	0.08	16
193.4220	37.5616	0.08	16
162.1238	36.8170	0.08	16
178.4719	35.8732	0.08	16
121.2018	35.6043	0.08	16
217.3258	35.2017	0.08	16
141.8732	34.2650	0.08	16
145.1236	34.1982	0.08	16
176.6225	33.7981	0.08	16
159.9223	33.7315	0.08	16
230.3752	33.6649	0.08	16
204.2604	32.8672	0.08	16
213.4398	32.0061	0.08	16
165.6461	31.9400	0.08	16
232.1918	31.6758	0.08	16
148.6447	31.5437	0.08	16
223.7912	31.4777	0.08	16
194.2922	31.4118	0.08	16
232.5874	30.6873	0.08	16
208.8595	30.0960	0.08	16
196.0189	29.5716	0.08	16
168.7911	29.3752	0.08	16
156.4162	28.9175	0.08	16
130.0282	27.3539	0.08	16
131.5731	27.2240	0.08	16
207.0693	27.1591	0.08	16
131.3384	27.0292	0.08	16
181.9323	27.0292	0.08	16
156.6879	26.8995	0.08	16
148.3698	26.0573	0.08	16
225.2546	26.0573	0.08	16
192.4664	25.7340	0.08	16
226.4944	25.2820	0.08	16
216.4601	24.0582	0.08	16
122.5578	23.4800	0.08	16
236.1867	23.0311	0.08	16
145.6949	22.9029	0.08	16
208.7252	22.7747	0.08	16
228.7347	21.7513	0.08	16
174.0558	21.5597	0.08	16
135.2583	20.5396	0.08	16
135.0375	20.2213	0.08	16
194.0484	19.2680	0.08	16
159.9329	18.1267	0.08	16
212.5752	17.8735	0.08	16
196.3530	17.2411	0.08	16
161.1704	17.1147	0.08	16
209.5810	16.8620	0.08	16
197.3202	16.1048	0.08	16
170.1491	15.6005	0.08	16
170.7099	15.0968	0.08	16
230.1748	15.0968	0.08	16
235.3332	14.9080	0.08	16
151.2168	13.8394	0.08	16
184.8917	13.7138	0.08	16
150.7109	13.3371	0.08	16
139.9269	13.1489	0.08	16
148.7604	13.0862	0.08	16
162.2373	12.3339	0.08	16
174.9852	11.8328	0.08	16
204.8908	11.5198	0.08	16
204.4683	11.2069	0.08	16
152.6160	9.9567	0.08	16
127.0067	9.0827	0.08	16
125.5654	8.6460	0.08	16
175.3541	8.4589	0.08	16
192.9761	8.4589	0.08	16
145.5044	8.2095	0.08	16
226.4532	8.2095	0.08	16
190.6168	8.1471	0.08	16
137.9309	7.8354	0.08	16
124.4833	7.0878	0.08	16
213.7557	7.0255	0.08	16
139.6245	6.3406	0.08	16
177.7823	6.2161	0.08	16
226.1896	6.1539	0.08	16
206.6103	6.0917	0.08	16
158.0757	5.9672	0.08	16
211.7469	5.3450	0.08	16
148.5314	4.6609	0.08	16
168.4825	4.4744	0.08	16
224.0994	4.3501	0.08	16
236.1890	3.7906	0.08	16
186.4832	3.6042	0.08	16
235.6354	3.2935	0.08	16
184.2080	3.2313	0.08	16
158.1284	3.1692	0.08	16
203.1322	3.1692	0.08	16
203.3328	3.1692	0.08	16
140.2142	2.8585	0.08	16
167.7603	2.7964	0.08	16
230.8679	2.6100	0.08	16
128.6557	2.5479	0.08	16
148.6442	2.4858	0.08	16
212.2817	2.4858	0.08	16
178.7250	2.4236	0.08	16
194.9648	1.8646	0.08	16
170.2693	56.9383	0.085	17
161.0367	56.7017	0.085	17
214.7014	55.8387	0.085	17
192.5577	55.7606	0.085	17
135.8031	55.4487	0.085	17
131.3259	55.0602	0.085	17
200.2534	54.9052	0.085	17
227.3598	54.9052	0.085	17
235.9179	54.2872	0.085	17
185.3409	53.3665	0.085	17
224.0651	52.9850	0.085	17
186.5418	52.3773	0.085	17
187.1740	50.4972	0.085	17
175.7758	49.2345	0.085	17
175.8632	49.2345	0.085	17
205.0763	48.4238	0.085	17
164.6353	48.0569	0.085	17
225.0411	48.0569	0.085	17
207.5237	47.9836	0.085	17
226.9923	47.3989	0.085	17
167.0359	47.0346	0.085	17
149.7826	46.9619	0.085	17
148.7190	46.3812	0.085	17
135.4741	45.5146	0.085	17
227.6567	44.0810	0.085	17
178.9059	43.9383	0.085	17
198.6935	43.3690	0.085	17
213.0888	43.1561	0.085	17
158.6372	43.0142	0.085	17
215.5554	42.3069	0.085	17
181.9054	41.7432	0.085	17
130.5744	41.4620	0.085	17
132.7494	40.5513	0.085	17
233.5721	40.4117	0.085	17
170.7568	39.5758	0.085	17
159.6972	39.2980	0.085	17
135.6848	37.9840	0.085	17
158.1796	37.7774	0.085	17
169.6896	37.4334	0.085	17
219.2115	36.5419	0.085	17
171.1758	36.1318	0.085	17
183.8796	36.1318	0.085	17
190.5799	35.7224	0.085	17
189.6998	35.1779	0.085	17
221.2235	35.1779	0.085	17
122.2741	34.7703	0.085	17
133.4487	34.4313	0.085	17
211.7125	34.1604	0.085	17
208.4569	34.0928	0.085	17
222.3452	33.6872	0.085	17
206.7030	32.8110	0.085	17
225.8889	32.8110	0.085	17
127.1464	32.3406	0.085	17
224.3590	32.2063	0.085	17
151.4257	30.2679	0.085	17
196.3180	30.0017	0.085	17
196.3912	30.0017	0.085	17
134.2410	29.2710	0.085	17
232.9876	29.2047	0.085	17
215.0083	29.0058	0.085	17
230.7670	27.8815	0.085	17
239.6932	27.7495	0.085	17
158.3781	27.6176	0.085	17
158.8174	26.9589	0.085	17
130.3858	26.4330	0.085	17
130.2231	26.2360	0.085	17
204.2736	26.1704	0.085	17
204.1935	26.1048	0.085	17
240.1166	25.9736	0.085	17
180.4791	25.9080	0.085	17
191.6044	25.2530	0.085	17
173.6344	25.1221	0.085	17
229.1028	24.5993	0.085	17
177.2093	24.3382	0.085	17
221.1325	24.2077	0.085	17
145.7394	24.0121	0.085	17
