RA[deg]	DEC[deg]	z_low	layer
141.2962	23.7880	0.025	5
207.9177	23.7238	0.025	5
180.6753	22.8902	0.025	5
145.6162	22.5061	0.025	5
168.2693	22.3143	0.025	5
162.0370	21.8031	0.025	5
162.4031	21.6116	0.025	5
209.9147	21.1651	0.025	5
126.0539	20.7828	0.025	5
239.7737	20.5281	0.025	5
176.2647	20.3372	0.025	5
148.3235	20.2100	0.025	5
208.2067	19.0669	0.025	5
138.3167	18.5598	0.025	5
125.0255	18.3698	0.025	5
138.7477	17.9900	0.025	5
236.4201	17.9267	0.025	5
138.9736	17.8635	0.025	5
152.2185	17.6737	0.025	5
166.7542	17.6105	0.025	5
190.8989	17.5473	0.025	5
122.7334	16.9787	0.025	5
145.1948	16.1586	0.025	5
233.8422	15.4657	0.025	5
146.0994	15.4028	0.025	5
149.8317	15.1510	0.025	5
166.3326	14.5222	0.025	5
202.2790	14.0197	0.025	5
135.6080	13.5803	0.025	5
198.5949	12.8278	0.025	5
215.4012	11.4503	0.025	5
222.5419	11.4503	0.025	5
162.7009	11.3253	0.025	5
142.8149	10.8876	0.025	5
163.0652	10.6376	0.025	5
223.7944	10.2628	0.025	5
194.8010	9.3265	0.025	5
186.6046	9.1394	0.025	5
186.7385	9.0146	0.025	5
214.3829	8.3288	0.025	5
204.6025	7.0831	0.025	5
154.5321	6.9586	0.025	5
237.9708	6.5852	0.025	5
161.0947	6.2119	0.025	5
196.2645	5.0925	0.025	5
125.1043	4.9060	0.025	5
221.3024	4.8439	0.025	5
159.5745	4.7817	0.025	5
167.5208	4.4710	0.025	5
123.6619	4.0982	0.025	5
168.0627	4.0982	0.025	5
217.5038	3.9118	0.025	5
133.0217	3.8497	0.025	5
198.3951	3.4770	0.025	5
145.3511	2.9180	0.025	5
176.2059	2.8559	0.025	5
186.9606	2.7317	0.025	5
207.1210	2.4212	0.025	5
230.3685	2.1729	0.025	5
199.1193	1.8624	0.025	5
231.4562	58.4373	0.03	6
152.1113	58.1135	0.03	6
167.9144	57.9520	0.03	6
219.4272	57.1484	0.03	6
220.8649	54.2279	0.03	6
135.1584	53.7616	0.03	6
155.5393	53.2972	0.03	6
188.1640	52.9886	0.03	6
196.5330	52.9115	0.03	6
136.5259	52.6808	0.03	6
225.0429	52.6039	0.03	6
240.3700	51.6859	0.03	6
192.8076	50.5478	0.03	6
174.2629	50.0954	0.03	6
227.4346	48.8221	0.03	6
153.9703	47.4129	0.03	6
170.8247	46.9709	0.03	6
148.2129	46.8973	0.03	6
120.6781	46.4568	0.03	6
199.0962	46.4568	0.03	6
166.4767	46.3835	0.03	6
137.8130	44.2735	0.03	6
213.5728	43.9847	0.03	6
139.8011	42.7631	0.03	6
239.9696	42.6916	0.03	6
172.5166	42.3342	0.03	6
166.4306	40.7703	0.03	6
129.3544	40.6996	0.03	6
128.8178	40.6288	0.03	6
159.1180	40.6288	0.03	6
228.5643	40.5581	0.03	6
195.6588	40.4168	0.03	6
128.4848	40.1346	0.03	6
227.1074	39.6416	0.03	6
164.6356	38.4499	0.03	6
149.9762	38.3102	0.03	6
217.3733	38.0310	0.03	6
149.5885	37.9613	0.03	6
165.6088	37.6827	0.03	6
136.5860	37.1960	0.03	6
151.8378	37.1960	0.03	6
195.2049	37.0572	0.03	6
218.6963	36.7105	0.03	6
172.6409	35.5362	0.03	6
187.5031	34.9859	0.03	6
173.6171	34.7112	0.03	6
176.3641	33.4112	0.03	6
200.9807	33.2748	0.03	6
199.4190	33.0703	0.03	6
155.9990	32.6619	0.03	6
232.0665	32.5259	0.03	6
223.1580	32.3221	0.03	6
221.3490	31.5762	0.03	6
146.1427	31.3732	0.03	6
132.2389	31.3056	0.03	6
132.6928	31.3056	0.03	6
166.2308	30.1585	0.03	6
146.7500	29.9566	0.03	6
166.1037	29.0164	0.03	6
166.4237	28.7484	0.03	6
195.7973	28.4137	0.03	6
219.9121	28.2800	0.03	6
144.5018	27.4788	0.03	6
187.3622	27.4788	0.03	6
201.4685	27.4121	0.03	6
232.5631	27.1456	0.03	6
238.0833	26.8793	0.03	6
175.4815	26.8128	0.03	6
188.2861	26.6798	0.03	6
174.6211	26.0156	0.03	6
178.8773	25.2866	0.03	6
141.6440	25.2204	0.03	6
223.8646	24.6254	0.03	6
204.6004	24.2292	0.03	6
206.7203	23.7677	0.03	6
139.6447	21.5344	0.03	6
131.2760	21.4035	0.03	6
172.8014	21.4035	0.03	6
167.8561	21.3380	0.03	6
151.5742	20.1617	0.03	6
185.3063	19.2491	0.03	6
136.9171	18.1435	0.03	6
143.3570	17.6242	0.03	6
239.8910	17.4944	0.03	6
137.6593	17.4296	0.03	6
164.2275	17.2999	0.03	6
185.3344	16.9758	0.03	6
162.0843	16.5225	0.03	6
152.0639	15.1002	0.03	6
150.9459	14.1971	0.03	6
122.1055	12.4591	0.03	6
158.3865	12.4591	0.03	6
157.4452	11.8166	0.03	6
175.5941	11.7524	0.03	6
134.2472	11.5597	0.03	6
